Month,Temp (C),Precip (cm),Deer,Height (cm),Ticks (millions)
0,15.83,7.62,3,7.90,15.1
1,11.42,24.56,2,6.58,14.5
2,11.88,37.58,1,5.54,12.8
3,15.66,33.10,1,3.47,11.4
4,23.90,26.30,0,0.93,10.4
5,23.61,26.44,0,0.93,9.3
6,29.87,11.34,0,0.93,8.9
7,21.90,11.87,0,0.94,8.5
8,23.01,6.75,0,0.94,8.3
9,7.78,0.00,0,8.75,8.3
10,8.80,3.30,0,16.48,8.2
11,6.26,15.04,1,39.68,7.7
12,6.17,19.37,1,63.29,7.2
13,12.88,32.62,1,63.56,6.4
14,12.45,34.32,2,64.40,5.7
15,17.14,29.72,2,59.47,5.2
16,20.66,24.24,3,54.40,4.9
17,25.48,26.51,4,46.78,4.7
18,25.22,13.97,5,36.62,4.8
19,25.48,8.43,6,23.92,5.1
20,19.58,2.66,6,8.69,5.6
21,13.88,7.43,5,0.00,6.1
22,8.04,10.68,3,1.62,6.4
23,2.73,16.83,1,18.72,6.3
24,6.97,18.63,1,39.25,6.0
25,6.53,28.63,1,62.75,5.4
26,9.77,32.92,2,71.37,4.8
27,21.25,34.72,2,66.29,4.3
28,26.29,30.01,2,61.21,4.0
29,25.07,22.00,3,56.13,3.8
30,22.06,18.55,4,48.51,3.7
31,20.39,7.35,5,38.36,3.9
32,15.72,5.70,6,25.93,4.2
33,17.34,7.22,6,10.77,4.5
34,13.18,3.27,5,0.00,5.0
35,6.66,13.37,4,8.07,5.2
36,8.81,17.64,2,12.89,5.3
37,2.39,30.23,2,33.46,4.8
38,17.03,33.98,2,28.54,4.3
39,20.84,35.44,3,23.46,3.9
40,22.96,31.63,3,15.84,3.6
41,25.83,25.79,3,8.22,3.4
42,21.47,15.82,2,0.60,3.4
43,26.21,11.50,1,0.00,3.4
44,14.77,4.20,0,0.00,3.4
45,14.99,6.25,0,0.47,3.3
46,13.15,2.60,0,1.64,3.3
47,8.81,12.94,0,14.55,3.1
48,2.85,25.38,0,42.62,2.8
49,12.91,30.61,1,45.49,2.5
50,11.03,28.85,2,50.28,2.2
51,22.28,35.38,3,45.20,2.0
52,23.03,28.26,4,37.58,1.9
53,22.47,26.29,5,27.43,1.8
54,21.41,17.78,6,14.73,1.9
55,20.50,9.50,4,0.00,2.0
56,16.93,7.80,3,0.00,2.1
57,17.20,0.00,2,0.00,2.2
58,4.85,10.85,1,16.75,2.2
59,2.37,9.50,1,32.12,2.2
60,-0.61,21.31,1,42.56,2.0
61,8.52,28.99,2,57.45,1.8
62,9.87,30.16,3,63.71,1.7
63,23.25,33.92,4,56.09,1.5
64,24.61,30.15,5,45.93,1.5
65,23.30,17.97,6,33.23,1.5
66,27.80,17.06,7,17.99,1.6
67,27.67,6.08,7,0.21,1.8
68,19.31,6.73,6,0.00,1.9
69,14.55,3.72,5,0.00,2.1
70,4.30,10.77,3,9.16,2.3
71,5.15,13.25,3,25.39,2.3
1,331,2,65.441
1,331,3,74.204
1,331,4,103.567
1,331,5,113.116
1,331,10,123.724
1,331,15,128.948
1,331,20,140.192
1,331,30,143.809
1,331,40,121.640
1,331,50,153.076
2,331,2,20.491
2,331,3,27.191
2,331,4,28.779
2,331,5,37.410
2,331,10,67.598
2,331,15,93.494
2,331,20,140.561
2,331,30,186.823
2,331,40,233.415
2,331,50,216.286
4,331,2,15.332
4,331,3,17.585
4,331,4,25.394
4,331,5,31.031
4,331,10,51.938
4,331,15,78.466
4,331,20,109.768
4,331,30,179.388
4,331,40,231.456
4,331,50,345.238
6,331,2,9.601
6,331,3,11.084
6,331,4,14.716
6,331,5,14.829
6,331,10,37.969
6,331,15,56.152
6,331,20,83.105
6,331,30,133.124
6,331,40,176.788
6,331,50,219.799
8,331,2,9.476
8,331,3,4.380
8,331,4,14.711
8,331,5,18.330
8,331,10,35.442
8,331,15,54.344
8,331,20,92.514
8,331,30,114.915
8,331,40,46.795
8,331,50,200.295
 1 ,  331 ,    2 ,   62.142:
 1 ,  331 ,    3 ,   76.520:
 1 ,  331 ,    4 ,   84.197:
 1 ,  331 ,    5 ,  100.067:
 1 ,  331 ,   10 ,  118.889:
 1 ,  331 ,   15 ,  113.312:
 1 ,  331 ,   20 ,  122.230:
 1 ,  331 ,   30 ,  124.358:
 1 ,  331 ,   40 ,  132.161:
 1 ,  331 ,   50 ,  137.521:
 2 ,  331 ,    2 ,   15.852:
 2 ,  331 ,    3 ,   21.564:
 2 ,  331 ,    4 ,   30.070:
 2 ,  331 ,    5 ,   23.254:
 2 ,  331 ,   10 ,   60.682:
 2 ,  331 ,   15 ,   97.389:
 2 ,  331 ,   20 ,  122.770:
 2 ,  331 ,   30 ,  196.973:
 2 ,  331 ,   40 ,  142.539:
 2 ,  331 ,   50 ,  246.820:
 4 ,  331 ,    2 ,   11.602:
 4 ,  331 ,    3 ,   15.449:
 4 ,  331 ,    4 ,   25.220:
 4 ,  331 ,    5 ,   26.967:
 4 ,  331 ,   10 ,   66.310:
 4 ,  331 ,   15 ,   81.227:
 4 ,  331 ,   20 ,  110.736:
 4 ,  331 ,   30 ,  196.638:
 4 ,  331 ,   40 ,  244.940:
 4 ,  331 ,   50 ,  321.803:
 6 ,  331 ,    2 ,   11.179:
 6 ,  331 ,    3 ,   11.005:
 6 ,  331 ,    4 ,   18.359:
 6 ,  331 ,    5 ,   20.655:
 6 ,  331 ,   10 ,   40.390:
 6 ,  331 ,   15 ,   65.893:
 6 ,  331 ,   20 ,   79.142:
 6 ,  331 ,   30 ,  127.556:
 6 ,  331 ,   40 ,  179.482:
 6 ,  331 ,   50 ,  260.306:
 8 ,  331 ,    2 ,    7.576:
 8 ,  331 ,    3 ,    9.474:
 8 ,  331 ,    4 ,   13.041:
 8 ,  331 ,    5 ,   19.164:
 8 ,  331 ,   10 ,   34.257:
 8 ,  331 ,   15 ,   60.965:
